DATE,BSCICP03CNM665S
2018-01-01,99.4032044938265
2018-02-01,99.2439624802773
2018-03-01,99.4369597231951
2018-04-01,99.6478905860278
2018-05-01,99.7905352223731
2018-06-01,99.7299602162937
2018-07-01,99.5692164302344
2018-08-01,99.3664400236913
2018-09-01,99.0379907487141
2018-10-01,98.6470968533013
2018-11-01,98.3029618721152
2018-12-01,98.0364475407801
2019-01-01,97.9724717833637
2019-02-01,98.0813120625968
2019-03-01,98.3284496341426
2019-04-01,98.3081237768061
2019-05-01,98.1124846800703
2019-06-01,98.0084453140229
2019-07-01,98.0322410481248
2019-08-01,98.0934690172576
2019-09-01,98.2088978781789
2019-10-01,98.269502846685
2019-11-01,98.1826423272465
2019-12-01,97.38211046024
2020-01-01,95.6878141130589
2020-02-01,94.1063047471198
2020-03-01,96.3533377713386
2020-04-01,98.1561868581682
2020-05-01,99.0031759063305
2020-06-01,99.310407991757
2020-07-01,99.4030393257222
2020-08-01,99.4656526599735
2020-09-01,99.6213629464718
2020-10-01,99.7833355062873
2020-11-01,99.9284182273635
2020-12-01,99.8493005078493
2021-01-01,99.6105100129901
2021-02-01,99.455793400937
2021-03-01,99.5316958364911
2021-04-01,99.4411981251898
2021-05-01,99.2841047368342
2021-06-01,99.0605935419709
2021-07-01,98.7424407033956
2021-08-01,98.4106633741631
2021-09-01,98.1443300519009
2021-10-01,98.0947324174842
2021-11-01,98.3223761730361
2021-12-01,98.5031046889336
2022-01-01,98.4732717199288
2022-02-01,98.2207498829557
2022-03-01,97.7430266324302
2022-04-01,97.3855945940758
2022-05-01,97.7185953374817
2022-06-01,98.0910129805558
2022-07-01,98.1867803768727
2022-08-01,98.1675724537146
2022-09-01,97.9759593377868
2022-10-01,97.4404827752289
2022-11-01,96.8966117318039
2022-12-01,96.9494024837851
2023-01-01,97.9869476991506
2023-02-01,99.2689007170782
