DATE,BSCICP03RUM665S
1999-11-01,102.488642172044
1999-12-01,102.549933781128
2000-01-01,102.36101306755
2000-02-01,102.032420483828
2000-03-01,101.839333711049
2000-04-01,101.712303629658
2000-05-01,101.955899598281
2000-06-01,102.304350659879
2000-07-01,102.548967264403
2000-08-01,102.76406283757
2000-09-01,102.907159131473
2000-10-01,102.917617602534
2000-11-01,102.763260735246
2000-12-01,102.344189249019
2001-01-01,101.769307809731
2001-02-01,101.278535237416
2001-03-01,100.662902960921
2001-04-01,100.275317289821
2001-05-01,100.045166139183
2001-06-01,100.12897165894
2001-07-01,100.308017153809
2001-08-01,100.575158401814
2001-09-01,100.826530069594
2001-10-01,100.844938612733
2001-11-01,100.38457949984
2001-12-01,99.7101289231182
2002-01-01,99.3022965188752
2002-02-01,98.9221115537704
2002-03-01,98.6287513756844
2002-04-01,98.6863070156733
2002-05-01,99.0026343731811
2002-06-01,99.4220373725829
2002-07-01,99.7973606447682
2002-08-01,100.202015632263
2002-09-01,100.425325587341
2002-10-01,100.464915473419
2002-11-01,100.227038798012
2002-12-01,99.8270125359373
2003-01-01,99.5225353261968
2003-02-01,99.4665015536458
2003-03-01,99.4236561492474
2003-04-01,99.5131519229808
2003-05-01,100.014790911241
2003-06-01,100.637170031843
2003-07-01,101.250280056513
2003-08-01,101.635718920735
2003-09-01,101.720083518831
2003-10-01,101.883550320142
2003-11-01,101.895436689897
2003-12-01,101.737071922742
2004-01-01,101.398584077609
2004-02-01,101.064763114787
2004-03-01,100.823099259943
2004-04-01,100.755801534686
2004-05-01,100.94790248882
2004-06-01,101.147314207516
2004-07-01,101.500122600124
2004-08-01,101.881742897274
2004-09-01,102.13335063184
2004-10-01,102.182503830593
2004-11-01,101.996694212265
2004-12-01,101.614807712184
2005-01-01,101.363332597908
2005-02-01,101.223318640065
2005-03-01,101.182710688259
2005-04-01,101.005456664651
2005-05-01,100.56138962031
2005-06-01,100.222136361574
2005-07-01,100.370218833274
2005-08-01,100.804207276147
2005-09-01,101.235380544909
2005-10-01,101.263884138249
2005-11-01,100.89337163868
2005-12-01,100.695846060955
2006-01-01,100.768838777922
2006-02-01,101.010424255891
2006-03-01,101.305241832949
2006-04-01,101.621575071448
2006-05-01,101.907437471899
2006-06-01,102.193327849325
2006-07-01,102.5027920665
2006-08-01,102.775522453995
2006-09-01,103.017186350822
2006-10-01,103.115376405341
2006-11-01,103.157884015588
2006-12-01,103.163561225572
2007-01-01,103.209843843896
2007-02-01,103.351271720641
2007-03-01,103.494502619114
2007-04-01,103.549058594517
2007-05-01,103.557124201172
2007-06-01,103.526658477744
2007-07-01,103.505650087985
2007-08-01,103.495832431838
2007-09-01,103.318540522384
2007-10-01,103.047618692369
2007-11-01,102.924617022941
2007-12-01,102.794478122783
2008-01-01,102.774402703261
2008-02-01,102.699347443964
2008-03-01,102.734173327146
2008-04-01,102.77153809885
2008-05-01,102.64285619455
2008-06-01,102.391394018106
2008-07-01,101.951557963143
2008-08-01,101.477362420857
2008-09-01,100.243480909125
2008-10-01,98.3892382172444
2008-11-01,96.3466006924613
2008-12-01,95.0827944453372
2009-01-01,94.7111310665229
2009-02-01,94.9323097836899
2009-03-01,95.3162613353658
2009-04-01,95.7467467894433
2009-05-01,96.3389860257909
2009-06-01,96.8555011141249
2009-07-01,97.3744920201567
2009-08-01,97.9357984047216
2009-09-01,98.4395091205288
2009-10-01,98.8019735698933
2009-11-01,98.8918313151523
2009-12-01,98.7664719483665
2010-01-01,99.1052420067516
2010-02-01,99.4478228069269
2010-03-01,99.8462058683959
2010-04-01,100.299155495301
2010-05-01,100.748643727742
2010-06-01,101.001242481694
2010-07-01,101.416223195071
2010-08-01,101.851309608397
2010-09-01,102.272319735964
2010-10-01,102.432539938832
2010-11-01,102.162252868961
2010-12-01,101.967108718366
2011-01-01,101.826484504264
2011-02-01,101.808125626716
2011-03-01,101.663304309118
2011-04-01,101.703966150132
2011-05-01,101.913011320905
2011-06-01,102.072433342084
2011-07-01,101.828495999553
2011-08-01,101.519139706566
2011-09-01,101.223106166629
2011-10-01,101.144843131809
2011-11-01,100.872337737563
2011-12-01,100.54983097959
2012-01-01,100.442424019622
2012-02-01,100.40215587822
2012-03-01,100.307100625863
2012-04-01,100.054423453413
2012-05-01,99.7209895724142
2012-06-01,99.6104462532721
2012-07-01,99.8183808195111
2012-08-01,100.118127840947
2012-09-01,100.246051597527
2012-10-01,99.9403137943339
2012-11-01,99.6211813712241
2012-12-01,99.6195330151981
2013-01-01,99.5287526835679
2013-02-01,99.5374659867072
2013-03-01,99.6397071081925
2013-04-01,99.5913601192743
2013-05-01,99.5041084480552
2013-06-01,99.4688344966979
2013-07-01,99.7487938027147
2013-08-01,99.9107155530299
